path,total_pop,x,y
vtd:08013013876,1178,-105.27748,40.00704
vtd:08031031209,1505,-104.98174,39.73056
vtd:08005005474,1359,-104.80045,39.68391
vtd:08013013872,1544,-105.26938,40.0017
vtd:08005005525,1840,-104.84318,39.73031
vtd:08005005552,2179,-104.78488,39.70321
vtd:08123123318,1796,-104.70861,40.39493
vtd:08005005560,783,-104.78649,39.68377
vtd:08005005275,902,-104.77728,39.62221
vtd:08029029002,1479,-108.18877,38.8106
vtd:08005005321,1896,-104.75855,39.61885
vtd:08005005111,1973,-104.97936,39.65497
vtd:08005005112,1172,-104.97821,39.65954
vtd:08069069511,1095,-105.11004,40.43294
vtd:08005005448,2716,-104.82439,39.64218
vtd:08013013848,868,-105.24841,40.00185
vtd:08123123343,1657,-104.74102,40.3805
vtd:08001001146,2233,-104.93912,39.91815
vtd:08005005301,1090,-104.79479,39.67087
vtd:08005005546,2292,-104.80543,39.73125
vtd:08005005408,1415,-104.87886,39.69291
vtd:08123123247,1962,-104.72086,40.39569
vtd:08123123120,777,-104.7355,40.45455
vtd:08005005517,1552,-104.85891,39.69839
vtd:08005005205,879,-104.95493,39.60567
vtd:08005005206,1023,-104.94596,39.60599
vtd:08005005135,560,-104.918,39.63136
vtd:08123123250,2576,-104.74594,40.38907
vtd:08069069321,2167,-105.08527,40.54058
vtd:08069069546,1159,-105.08006,40.40406
vtd:08001001026,3905,-105.02011,39.84901
vtd:08013013629,860,-105.10677,40.17763
vtd:08005005146,1044,-105.0483,39.60632
vtd:08031031627,1580,-104.92771,39.71586
vtd:08005005224,1125,-104.90752,39.59193
vtd:08013013609,1737,-105.09067,40.16815
vtd:08001001099,1362,-104.98014,39.89196
vtd:08001001253,1423,-104.87502,39.75103
vtd:08013013602,1290,-105.06311,40.17839
vtd:08013013884,1055,-105.28325,40.02193
vtd:08013013849,3340,-105.25018,39.99767
vtd:08005005145,1054,-105.03236,39.61372
vtd:08013013834,3142,-105.26674,40.00606
vtd:08013013915,493,-105.54401,40.13323
vtd:08013013902,373,-105.60057,39.97148
vtd:08013013910,876,-105.35008,40.05053
vtd:08013013835,1529,-105.26166,40.00447
vtd:08013013858,1131,-105.25364,39.96661
vtd:08013013829,1170,-105.26286,40.01877
vtd:08013013853,1178,-105.23507,39.98963
vtd:08013013411,2082,-105.08387,40.03298
vtd:08013013647,2225,-105.08362,40.19957
vtd:08005005233,1754,-104.90014,39.59904
vtd:08031031821,1226,-104.927,39.75928
vtd:08031031243,1597,-104.97083,39.67253
vtd:08031031610,504,-104.94428,39.72696
vtd:08005005305,1905,-104.77542,39.65997
vtd:08101101034,1319,-104.61637,38.2788
vtd:08101101055,875,-104.64793,38.25191
vtd:08101101065,194,-104.68076,38.23977
vtd:08005005236,989,-104.88891,39.59093
vtd:08031031244,1780,-104.96408,39.67034
vtd:08031031813,1597,-104.96948,39.75852
vtd:08031031410,1435,-105.01972,39.77646
vtd:08031031225,1125,-104.97727,39.7044
vtd:08031031619,1601,-104.94679,39.72004
vtd:08031031823,1324,-104.93677,39.75376
vtd:08065065003,1221,-106.29349,39.25186
vtd:08031031844,1800,-104.95633,39.73847
vtd:08031031729,4791,-104.76564,39.79002
vtd:08031031508,1424,-105.0102,39.76647
vtd:08031031407,1945,-105.04875,39.77305
vtd:08031031817,1199,-104.9567,39.75822
vtd:08031031810,2636,-104.98038,39.7518
vtd:08031031420,1946,-105.03808,39.75296
vtd:08031031205,1855,-104.97537,39.73754
vtd:08031031229,1099,-104.96536,39.68959
vtd:08031031230,1232,-104.95511,39.6905
vtd:08031031815,1064,-104.97008,39.75291
vtd:08031031816,1089,-104.96268,39.7535
vtd:08031031828,2304,-104.96412,39.7424
vtd:08031031842,1340,-104.96507,39.7376
vtd:08065065005,935,-106.29984,39.2447
vtd:08065065001,1712,-106.35134,39.31351
vtd:08003003004,2723,-105.73772,37.50485
vtd:08003003007,3457,-105.98038,37.50289
vtd:08003003003,2781,-105.9194,37.49908
vtd:08013013627,1683,-105.12368,40.18042
vtd:08031031849,1655,-104.97066,39.73122
vtd:08123123235,1201,-104.78476,40.39954
vtd:08123123214,1640,-104.75099,40.41425
vtd:08123123248,1836,-104.74462,40.39574
vtd:08031031237,3273,-104.96342,39.67904
vtd:08013013311,1223,-105.10205,39.99691
vtd:08005005192,1342,-104.94493,39.57518
vtd:08031031415,2535,-105.03299,39.76464
vtd:08031031506,1547,-105.01163,39.77328
vtd:08031031416,1702,-105.028,39.76346
vtd:08031031421,2127,-105.03056,39.75544
vtd:08005005554,1802,-104.78412,39.69401
vtd:08031031848,1487,-104.96997,39.7349
vtd:08005005426,1062,-104.83545,39.66545
vtd:08031031703,1145,-104.87767,39.76194
vtd:08031031130,1949,-105.04014,39.63525
vtd:08031031930,1651,-104.8826,39.64827
vtd:08031031211,1397,-104.97469,39.73138
vtd:08017017001,200,-102.14924,38.83961
vtd:08003003002,1841,-105.87942,37.47442
vtd:08017017002,481,-102.29688,38.82061
vtd:08101101220,1535,-104.8101,38.3426
vtd:08017017003,574,-102.476,38.81679
vtd:08017017004,404,-102.77158,38.81663
vtd:08017017005,89,-103.04375,38.84924
vtd:08103103003,1734,-108.10805,40.08176
vtd:08103103004,2005,-107.55679,40.04567
vtd:08103103005,105,-108.22415,39.84255
vtd:08103103002,1146,-108.65942,39.98862
vtd:08103103001,1539,-108.90467,39.86392
vtd:08031031434,3147,-105.03213,39.71457
vtd:08121121001,178,-103.37293,40.37565
vtd:08121121002,2522,-103.25672,40.13992
vtd:08101101215,1689,-104.76233,38.33397
vtd:08121121003,246,-102.92815,40.35016
vtd:08121121005,383,-103.50538,39.7687
vtd:08031031102,4336,-105.03218,39.70098
vtd:08121121004,962,-102.94459,40.11521
vtd:08121121006,526,-103.02994,39.75289
vtd:08101101108,1015,-104.44033,38.23228
vtd:08101101109,1049,-104.33523,38.21368
vtd:08101101301,2286,-104.84251,37.93018
vtd:08101101111,824,-104.27457,38.37631
vtd:08101101106,1417,-104.49451,38.25426
vtd:08101101112,555,-104.42973,38.15549
vtd:08101101303,572,-104.85478,38.00518
vtd:08101101304,582,-104.69114,37.99519
vtd:08101101302,1172,-104.98145,37.92148
vtd:08101101110,387,-104.30898,37.99298
vtd:08101101402,1182,-104.83309,38.19322
vtd:08101101201,2386,-104.70642,38.38954
vtd:08057057003,165,-106.46056,40.50542
vtd:08101101216,1185,-104.78437,38.32119
vtd:08101101213,1735,-104.75363,38.32493
vtd:08057057005,554,-106.07941,40.63896
vtd:08057057004,68,-106.13109,40.45925
vtd:08057057002,92,-106.44002,40.90854
vtd:08107107005,2003,-107.26487,40.36331
vtd:08107107002,889,-107.20573,40.65961
vtd:08107107001,1094,-106.9563,40.81935
vtd:08107107008,1414,-107.01226,40.29344
vtd:08107107006,1579,-106.9326,40.42818
vtd:08107107007,539,-106.75289,40.38533
vtd:08101101219,1657,-104.81651,38.32899
vtd:08101101214,2528,-104.76493,38.31149
vtd:08101101218,1899,-104.82486,38.31018
vtd:08047047003,1197,-105.44765,39.83927
vtd:08057057001,500,-106.48962,40.73359
vtd:08107107009,1200,-106.76035,40.22771
vtd:08107107010,702,-106.84682,40.03806
vtd:08047047002,789,-105.53708,39.83154
vtd:08047047001,1074,-105.50342,39.78689
vtd:08047047006,1111,-105.57495,39.90583
vtd:08047047005,790,-105.43041,39.89117
vtd:08111111001,705,-107.67615,37.76404
vtd:08053027001,788,-107.30031,37.82134
vtd:08115115002,457,-102.16034,40.8803
vtd:08039039010,1762,-104.62639,39.47118
